Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 05900 ( 43.9%) | loss: 1.089600 | trade:0.39 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 135s
step 05950 ( 44.1%) | loss: 1.063573 | trade:0.36 call:0.54 put:0.46 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 134s
step 06000 ( 44.5%) | loss: 1.081254 | trade:0.39 call:0.63 put:0.37 | ATM:0.62 OTM:0.38 | stage:1 | lr: 1.50e-04 | left: 133s
step 06050 ( 45.0%) | loss: 1.099959 | trade:0.36 call:0.64 put:0.36 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 132s
step 06100 ( 45.4%) | loss: 1.085230 | trade:0.33 call:0.58 put:0.42 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 131s
step 06150 ( 45.8%) | loss: 1.071084 | trade:0.30 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 130s
step 06200 ( 46.3%) | loss: 1.072383 | trade:0.34 call:0.56 put:0.44 | ATM:0.64 OTM:0.36 | stage:1 | lr: 1.50e-04 | left: 129s
step 06250 ( 46.8%) | loss: 1.062079 | trade:0.36 call:0.68 put:0.32 | ATM:0.66 OTM:0.34 | stage:1 | lr: 1.50e-04 | left: 128s
step 06300 ( 47.1%) | loss: 1.071078 | trade:0.36 call:0.59 put:0.41 | ATM:0.58 OTM:0.42 | stage:1 | lr: 1.50e-04 | left: 127s
step 06350 ( 47.3%) | loss: 1.084583 | trade:0.33 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | stage:1 | lr: 1.50e-04 | left: 127s
step 06400 ( 47.5%) | loss: 1.091152 | trade:0.37 call:0.62 put:0.38 | ATM:0.68 OTM:0.32 | stage:1 | lr: 1.50e-04 | left: 126s
step 06450 ( 47.7%) | loss: 1.065641 | trade:0.33 call:0.55 put:0.45 | ATM:0.59 OTM:0.41 | stage:1 | lr: 1.50e-04 | left: 126s
step 06500 ( 47.9%) | loss: 1.077083 | trade:0.31 call:0.55 put:0.45 | ATM:0.63 OTM:0.37 | stage:1 | lr: 1.50e-04 | left: 125s
